language,uni_lemma,tokens,freq,mlu,lexical_category,category,item_definition
English (Australian),bear,"bear, beard, bearing, bears, born",-5.891319252352311,8.108188412129687,nouns,animals,bear
English (Australian),bed,"bed, bedded, beds",-5.926444901409137,8.055485155684286,nouns,furniture_rooms,bed
English (Australian),bedroom,"bedroom, bedrooms",-8.572131086171904,9.063856960408685,nouns,furniture_rooms,bedroom
English (Australian),bee,"bee, bees",-7.533532424043075,6.2560975609756095,nouns,animals,bee
English (Australian),belly button,"bellybutton, bellybuttons, navel",-12.346168348626147,7.0588235294117645,nouns,body_parts,bellybutton/navel
English (Australian),belt,"belt, belted, belts",-9.062754002620375,7.27348643006263,nouns,clothing,belt
English (Australian),bench,"bench, benches",-9.33938623888557,7.59228650137741,nouns,furniture_rooms,bench
English (Australian),better,better,-5.768538821206358,7.244087185036327,adjectives,descriptive_words,better
English (Australian),bib,"bib, bibs",-8.512707665701102,6.5234657039711195,nouns,clothing,bib
English (Australian),bicycle,"bicycle, bicycles, bike, bikes",-7.256858804134571,7.423630136986302,nouns,vehicles,bicycle/bike
English (Australian),big,"big, biggest, bigs",-4.779742318614037,7.445699991374105,adjectives,descriptive_words,big
English (Australian),bird,"bird, birds",-6.5433788322842945,7.241905720516692,nouns,animals,bird
English (Australian),bite,"bite, bited, bites",-7.018561903371579,6.287371829465731,verbs,action_words,bite
English (Australian),black,"black, blacked, blacks",-6.990630841748219,7.170296510102335,adjectives,descriptive_words,black
English (Australian),blanket,"blanket, blankets",-7.815362577926917,7.508383233532935,nouns,household,blanket
English (Australian),blocks,"block, blocked, blocks, brick, bricks",-6.45821417788783,7.1411184717300875,nouns,toys,block/brick
English (Australian),blow,"blow, blowed, blowing, blows",-7.055099410802938,6.513574027427932,verbs,action_words,blow
English (Australian),blue,"blue, blues",-5.869537924532752,6.061222744762719,adjectives,descriptive_words,blue
English (Australian),boat,"boat, boating, boats",-6.994836946792493,6.891436100131752,nouns,vehicles,boat
English (Australian),book,"book, booked, books",-5.056937117905868,7.975150802382488,nouns,toys,book
English (Australian),boots,"beet, boot, boots",-7.863793740117983,7.390949088623508,nouns,clothing,boot(s)
English (Australian),bottle,"bottle, bottles",-6.808396731939585,7.276404985786136,nouns,household,bottle
English (Australian),bowl,"bowl, bowled, bowls",-7.20580518242377,8.732834363813863,nouns,household,bowl
English (Australian),box,"box, boxes, boxing",-5.902213754765137,8.038430956798305,nouns,household,box
English (Australian),boy,"boy, boyd, boys",-5.232619156664913,6.402360709117222,other,people,boy
